Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1099.993896,87.21823883,1099.993896,99.42735291,1099.993896,99.19164276,1099.993896,98.35546112,1099.993896,96.1350174,1099.993896,96.7241745,1099.993896,97.09040833,1099.993896,96.5539856,1099.993896,95.31557465,1099.993896,98.98696136,1099.993896,99.23319244,1099.993896,100.3206711,1099.993896,96.01850128,1099.993896,96.38890076,1099.993896,97.36790466,1099.993896,93.033638,1099.993896,99.22875214,1099.993896,97.61178589,1099.993896,98.29611969,1099.993896,95.91945648,1099.993896,99.28864288,1099.993896,96.86811829,1099.993896,97.31829834,1099.993896,93.67031097,1099.993896,91.84979248,1099.993896,92.9331665,1099.993896,93.4859848,1099.993896,92.42333984,1099.993896,98.33565521,1099.993896,93.46065521,1099.993896,90.06285858,1099.993896,92.44429779,1099.993896,90.73855591,1099.993896,92.44419861,1099.993896,90.10637665,1099.993896,92.57824707,1099.993896,94.77095795,1099.993896,91.71229553,1099.993896,92.98505402,1099.993896,91.08413696,1099.993896,94.3314209,1099.993896,91.29766846,1099.993896,92.07621765,1099.993896,92.35174561,1099.993896,90.22771454,1099.993896,91.55966949,1099.993896,92.54838562,1099.993896,90.33201599,1099.993896,90.08634949,1099.993896,87.08610535,1099.993896,87.63825989,1099.993896,93.72794342,1099.993896,91.55566406,1099.993896,91.75188446,1099.993896,93.89156342,1099.993896,93.60256195,1099.993896,90.80518341,1099.993896,89.1876297,1099.993896,88.74568176,1099.993896,91.93424225,1099.993896,90.73529053,1099.993896,91.48093414,1099.993896,93.63543701,1099.993896,90.45433807,1099.993896,93.89830017,1099.993896,93.54556274,1099.993896,92.25307465,1099.993896,93.29358673,1099.993896,94.50552368,1099.993896,92.69126892,1099.993896,90.28366852,1099.993896,90.37580872,1099.993896,92.04737854,1099.993896,90.08283234,1099.993896,87.69420624,1099.993896,92.11318207,1099.993896,90.48206329,1099.993896,86.74160004,1099.993896,87.06630707,1099.993896,91.92134857,1099.993896,93.95553589,1099.993896,68.95159149,1099.993896,66.40724182,1099.993896,69.29141235,1099.993896,65.33333588,1099.993896,65.32839966,1099.993896,65.93166351,1099.993896,65.44616699,1099.993896,65.82383728,1099.993896,71.02326202,1099.993896,67.7170639,1099.993896,62.58731461,1099.993896,67.9394455,1099.993896,67.71931458,1099.993896,68.0890274,1099.993896,68.83486938,1099.993896,64.8164444,1099.993896,64.60068512,1099.993896,67.46042633,1099.993896,68.84836578,1099.993896,65.91446686,1099.993896,62.4838295,1099.993896,64.23823547,1099.993896,65.43951416,1099.993896,66.59134674,1099.993896,63.0687294,
1098.992188,88.34151459,1098.992188,94.23973846,1098.992188,98.53102875,1098.992188,97.94534302,1098.992188,98.44190979,1098.992188,95.13555145,1098.992188,97.28318787,1098.992188,98.05349731,1098.992188,98.50846863,1098.992188,96.48818207,1098.992188,94.65205383,1098.992188,96.61580658,1098.992188,99.96891785,1098.992188,96.38444519,1098.992188,96.58174133,1098.992188,92.8077774,1098.992188,98.31988525,1098.992188,97.1633606,1098.992188,94.67234039,1098.992188,95.06603241,1098.992188,97.14514923,1098.992188,95.76232147,1098.992188,94.737854,1098.992188,94.65224457,1098.992188,94.93869781,1098.992188,93.66004181,1098.992188,94.29360962,1098.992188,92.86962128,1098.992188,93.8637085,1098.992188,94.25883484,1098.992188,90.87889099,1098.992188,92.44277954,1098.992188,90.67779541,1098.992188,94.36882782,1098.992188,92.07656097,1098.992188,94.1027832,1098.992188,92.7514801,1098.992188,94.26237488,1098.992188,90.01451111,1098.992188,93.43304443,1098.992188,91.43414307,1098.992188,91.41840363,1098.992188,90.37216949,1098.992188,92.93087006,1098.992188,89.8034668,1098.992188,90.97046661,1098.992188,89.6756897,1098.992188,90.53527069,1098.992188,89.20638275,1098.992188,90.45764923,1098.992188,86.36782837,1098.992188,89.13393402,1098.992188,91.33378601,1098.992188,88.045578,1098.992188,89.55957794,1098.992188,89.86148071,1098.992188,88.63414764,1098.992188,91.12749481,1098.992188,94.28714752,1098.992188,89.93792725,1098.992188,92.53598785,1098.992188,85.4197998,1098.992188,91.70935059,1098.992188,92.07369232,1098.992188,92.8453064,1098.992188,93.75440216,1098.992188,89.41377258,1098.992188,89.78212738,1098.992188,92.30291748,1098.992188,90.22613525,1098.992188,89.83361816,1098.992188,89.53019714,1098.992188,92.37646484,1098.992188,91.45599365,1098.992188,88.21385193,1098.992188,90.09359741,1098.992188,89.29147339,1098.992188,91.30905151,1098.992188,93.01249695,1098.992188,90.71542358,1098.992188,89.77288818,1098.992188,65.16323853,1098.992188,67.49359894,1098.992188,67.32533264,1098.992188,66.80506897,1098.992188,67.37335968,1098.992188,65.53214264,1098.992188,64.73394775,1098.992188,62.10228729,1098.992188,65.16799927,1098.992188,65.9940033,1098.992188,66.64433289,1098.992188,66.0690155,1098.992188,65.75746155,1098.992188,71.38426208,1098.992188,66.4354248,1098.992188,67.9475174,1098.992188,67.15578461,1098.992188,68.99363708,1098.992188,66.74866486,1098.992188,66.5712738,1098.992188,67.36776733,1098.992188,65.22213745,1098.992188,65.71904755,1098.992188,66.56111908,1098.992188,68.48799133,
1097.989746,87.70652008,1097.989746,97.87779236,1097.989746,97.704422,1097.989746,103.978775,1097.989746,97.89948273,1097.989746,100.153717,1097.989746,98.60318756,1097.989746,97.73992157,1097.989746,98.38819885,1097.989746,95.44413757,1097.989746,97.02066803,1097.989746,97.91113281,1097.989746,97.75882721,1097.989746,100.4222717,1097.989746,99.25824738,1097.989746,97.86694336,1097.989746,96.409935,1097.989746,100.0232925,1097.989746,96.7778244,1097.989746,96.08119202,1097.989746,96.84658813,1097.989746,100.7627869,1097.989746,94.5525589,1097.989746,93.03715515,1097.989746,95.81469727,1097.989746,94.91453552,1097.989746,91.93969727,1097.989746,93.62699127,1097.989746,91.95542145,1097.989746,95.98155212,1097.989746,98.01022339,1097.989746,93.73355865,1097.989746,93.11592102,1097.989746,96.58425903,1097.989746,92.38538361,1097.989746,94.67370605,1097.989746,89.95872498,1097.989746,90.6854248,1097.989746,89.91902161,1097.989746,92.01837158,1097.989746,93.06277466,1097.989746,91.68151093,1097.989746,93.20214081,1097.989746,92.62236023,1097.989746,92.38304901,1097.989746,89.66954041,1097.989746,93.72214508,1097.989746,91.20832062,1097.989746,90.75133514,1097.989746,86.86660767,1097.989746,94.88339233,1097.989746,91.28751373,1097.989746,91.007164,1097.989746,93.20707703,1097.989746,90.510849,1097.989746,91.74597168,1097.989746,90.0956955,1097.989746,92.99069977,1097.989746,93.90312195,1097.989746,92.39233398,1097.989746,92.87815857,1097.989746,92.65678406,1097.989746,91.6907959,1097.989746,93.43819427,1097.989746,91.43933105,1097.989746,95.02544403,1097.989746,90.79463196,1097.989746,90.15013123,1097.989746,90.8862915,1097.989746,92.58349609,1097.989746,92.59952545,1097.989746,92.55922699,1097.989746,91.86761475,1097.989746,88.41938019,1097.989746,92.2833252,1097.989746,90.1188736,1097.989746,91.02542114,1097.989746,92.99034119,1097.989746,93.04818726,1097.989746,91.98014832,1097.989746,89.80792999,1097.989746,68.28047943,1097.989746,66.33216095,1097.989746,69.6164093,1097.989746,67.85536194,1097.989746,69.05151367,1097.989746,64.43067932,1097.989746,65.99506378,1097.989746,66.95202637,1097.989746,63.11152649,1097.989746,66.13852692,1097.989746,68.70540619,1097.989746,67.82636261,1097.989746,63.12163544,1097.989746,67.17704773,1097.989746,67.73884583,1097.989746,64.9901123,1097.989746,69.50158691,1097.989746,66.45282745,1097.989746,69.31196594,1097.989746,66.66500092,1097.989746,65.04925537,1097.989746,67.09104919,1097.989746,64.88830566,1097.989746,67.53879547,1097.989746,67.8163147,
1096.986328,88.96605682,1096.986328,97.8610611,1096.986328,98.37425995,1096.986328,94.8521347,1096.986328,93.24315643,1096.986328,96.86471558,1096.986328,97.23320007,1096.986328,96.86474609,1096.986328,96.71634674,1096.986328,94.24256897,1096.986328,94.92768097,1096.986328,95.49869537,1096.986328,97.46154785,1096.986328,92.00598145,1096.986328,96.74102783,1096.986328,96.86457825,1096.986328,95.09346771,1096.986328,95.90700531,1096.986328,96.27867126,1096.986328,96.51705933,1096.986328,94.63059235,1096.986328,97.35307312,1096.986328,91.17263794,1096.986328,89.68112946,1096.986328,92.69667816,1096.986328,93.13619995,1096.986328,92.85295868,1096.986328,93.04309082,1096.986328,90.68609619,1096.986328,96.60477448,1096.986328,91.25852966,1096.986328,92.14053345,1096.986328,89.87799072,1096.986328,95.05461121,1096.986328,90.21489716,1096.986328,92.31256866,1096.986328,89.76249695,1096.986328,93.85623932,1096.986328,92.27827454,1096.986328,92.57443237,1096.986328,92.59669495,1096.986328,89.84023285,1096.986328,88.00189209,1096.986328,88.48731995,1096.986328,89.02183533,1096.986328,90.46852875,1096.986328,91.20071411,1096.986328,90.22580719,1096.986328,91.87781525,1096.986328,86.00887299,1096.986328,90.20916748,1096.986328,91.53356934,1096.986328,85.894104,1096.986328,89.07785034,1096.986328,90.21961975,1096.986328,88.75888062,1096.986328,88.524086,1096.986328,91.36284637,1096.986328,86.84587097,1096.986328,88.9671402,1096.986328,87.59989166,1096.986328,89.00602722,1096.986328,89.54173279,1096.986328,88.23545837,1096.986328,89.59278107,1096.986328,91.97383118,1096.986328,91.11468506,1096.986328,86.55867767,1096.986328,94.84882355,1096.986328,89.58687592,1096.986328,92.2501297,1096.986328,87.83744812,1096.986328,89.02424622,1096.986328,91.60607147,1096.986328,90.55940247,1096.986328,89.26417542,1096.986328,90.87509155,1096.986328,89.85755157,1096.986328,88.39957428,1096.986328,89.27414703,1096.986328,89.93823242,1096.986328,65.03543091,1096.986328,66.22136688,1096.986328,66.79395294,1096.986328,64.72161102,1096.986328,65.62846375,1096.986328,65.03882599,1096.986328,65.41751099,1096.986328,64.23713684,1096.986328,63.06320953,1096.986328,66.31591034,1096.986328,64.52093506,1096.986328,65.51192474,1096.986328,70.52613831,1096.986328,65.13718414,1096.986328,64.72624969,1096.986328,66.80576324,1096.986328,68.03507996,1096.986328,66.01035309,1096.986328,66.061203,1096.986328,67.4416275,1096.986328,65.09619141,1096.986328,65.59101105,1096.986328,62.75152588,1096.986328,66.65393066,1096.986328,65.46082306,
1096.011963,86.11380768,1096.011963,101.1004333,1096.011963,100.1462555,1096.011963,99.30703735,1096.011963,102.6170502,1096.011963,100.8185272,1096.011963,103.0481186,1096.011963,100.0106201,1096.011963,99.09896851,1096.011963,100.7019043,1096.011963,98.2583313,1096.011963,103.4233475,1096.011963,99.28092957,1096.011963,98.2197113,1096.011963,98.54849243,1096.011963,101.3057861,1096.011963,99.04979706,1096.011963,98.87593079,1096.011963,97.52642822,1096.011963,99.41957855,1096.011963,102.4665985,1096.011963,98.15784454,1096.011963,99.19359589,1096.011963,93.83348083,1096.011963,94.59732819,1096.011963,95.63460541,1096.011963,96.80896759,1096.011963,96.37504578,1096.011963,92.06317902,1096.011963,95.82378387,1096.011963,95.91526031,1096.011963,94.67366028,1096.011963,97.65304565,1096.011963,96.70889282,1096.011963,91.98709106,1096.011963,93.78736877,1096.011963,95.6601944,1096.011963,97.46383667,1096.011963,92.22080994,1096.011963,89.60011292,1096.011963,95.03314209,1096.011963,93.50784302,1096.011963,91.07128143,1096.011963,93.53974152,1096.011963,94.56100464,1096.011963,93.52455902,1096.011963,94.31188202,1096.011963,91.8611908,1096.011963,94.17821503,1096.011963,93.32034302,1096.011963,89.16685486,1096.011963,95.07221985,1096.011963,92.34732056,1096.011963,92.92813873,1096.011963,93.04167938,1096.011963,93.05342865,1096.011963,92.82753754,1096.011963,92.73983002,1096.011963,90.44160461,1096.011963,90.87134552,1096.011963,91.7195282,1096.011963,93.89265442,1096.011963,93.08381653,1096.011963,94.91654205,1096.011963,96.66735077,1096.011963,95.30419922,1096.011963,91.17112732,1096.011963,93.85194397,1096.011963,92.18165588,1096.011963,93.37050629,1096.011963,93.01390839,1096.011963,92.65511322,1096.011963,94.48968506,1096.011963,92.31111145,1096.011963,90.75925446,1096.011963,90.5139389,1096.011963,96.34414673,1096.011963,93.54246521,1096.011963,93.27818298,1096.011963,93.52973938,1096.011963,93.47380066,1096.011963,69.00670624,1096.011963,66.02690125,1096.011963,70.7328949,1096.011963,68.28559875,1096.011963,66.10818481,1096.011963,68.14321899,1096.011963,65.19070435,1096.011963,71.21761322,1096.011963,71.02618408,1096.011963,66.22585297,1096.011963,66.59616852,1096.011963,69.32759857,1096.011963,69.62860107,1096.011963,64.96443939,1096.011963,68.87254333,1096.011963,68.62473297,1096.011963,72.02453613,1096.011963,66.82100677,1096.011963,68.7322464,1096.011963,67.17858124,1096.011963,70.63322449,1096.011963,68.1889267,1096.011963,68.99002838,1096.011963,67.36975861,1096.011963,67.95023346,
1095.00708,87.81864929,1095.00708,98.26273346,1095.00708,97.58509827,1095.00708,99.10072327,1095.00708,96.35791779,1095.00708,99.57053375,1095.00708,96.26681519,1095.00708,99.78140259,1095.00708,99.61238861,1095.00708,96.30039978,1095.00708,97.50891113,1095.00708,96.97027588,1095.00708,96.96076965,1095.00708,98.86243439,1095.00708,95.67066193,1095.00708,98.47809601,1095.00708,95.88537598,1095.00708,95.64954376,1095.00708,98.06982422,1095.00708,96.68737793,1095.00708,94.28709412,1095.00708,94.50585175,1095.00708,95.65190125,1095.00708,93.55397034,1095.00708,93.39711761,1095.00708,93.17813873,1095.00708,93.20366669,1095.00708,96.53720093,1095.00708,94.68684387,1095.00708,93.66952515,1095.00708,93.67285156,1095.00708,92.24806976,1095.00708,95.83409882,1095.00708,95.06864929,1095.00708,93.63965607,1095.00708,89.41188812,1095.00708,94.59619141,1095.00708,93.56969452,1095.00708,92.1949234,1095.00708,92.0322113,1095.00708,97.13227081,1095.00708,93.89565277,1095.00708,90.45648193,1095.00708,91.83576965,1095.00708,90.27548218,1095.00708,90.32673645,1095.00708,88.33034515,1095.00708,89.52946472,1095.00708,91.38672638,1095.00708,91.80145264,1095.00708,87.42221832,1095.00708,93.46697235,1095.00708,91.22764587,1095.00708,92.29886627,1095.00708,89.54042816,1095.00708,89.8279953,1095.00708,89.96318054,1095.00708,91.35154724,1095.00708,90.76576996,1095.00708,90.20540619,1095.00708,88.82334137,1095.00708,94.69789124,1095.00708,93.54388428,1095.00708,91.09518433,1095.00708,93.60587311,1095.00708,91.06833649,1095.00708,89.48361969,1095.00708,89.63162994,1095.00708,88.26760101,1095.00708,92.64479065,1095.00708,91.84553528,1095.00708,94.60693359,1095.00708,92.08211517,1095.00708,93.1139679,1095.00708,88.87071991,1095.00708,89.57814026,1095.00708,92.41859436,1095.00708,88.61652374,1095.00708,91.57315826,1095.00708,92.4753418,1095.00708,93.19636536,1095.00708,65.56633759,1095.00708,66.54067993,1095.00708,67.61096954,1095.00708,64.62273407,1095.00708,65.95677948,1095.00708,67.91403198,1095.00708,67.02619171,1095.00708,65.35955811,1095.00708,65.09051514,1095.00708,69.05366516,1095.00708,66.76757813,1095.00708,65.94249725,1095.00708,66.99378967,1095.00708,66.56241608,1095.00708,68.19551849,1095.00708,70.38069153,1095.00708,65.1958313,1095.00708,64.05719757,1095.00708,64.53635406,1095.00708,64.94035339,1095.00708,69.35124969,1095.00708,66.65840149,1095.00708,69.07450867,1095.00708,65.62724304,1095.00708,65.38045502,
1094.001709,87.05734253,1094.001709,97.09300232,1094.001709,97.56302643,1094.001709,98.36786652,1094.001709,96.43109131,1094.001709,98.57526398,1094.001709,99.35299683,1094.001709,99.83919525,1094.001709,98.12488556,1094.001709,97.38597107,1094.001709,98.35746765,1094.001709,96.42770386,1094.001709,97.05717468,1094.001709,97.80705261,1094.001709,99.1619873,1094.001709,98.82992554,1094.001709,97.20684814,1094.001709,96.15219116,1094.001709,97.37957001,1094.001709,95.72756195,1094.001709,96.52967834,1094.001709,96.14466095,1094.001709,96.20864105,1094.001709,93.52362061,1094.001709,94.24893951,1094.001709,91.33753967,1094.001709,94.88812256,1094.001709,95.21362305,1094.001709,92.36779022,1094.001709,92.37188721,1094.001709,93.83756256,1094.001709,92.51010132,1094.001709,95.81026459,1094.001709,91.76786804,1094.001709,91.23062897,1094.001709,93.55755615,1094.001709,91.04524231,1094.001709,93.38018799,1094.001709,90.46426392,1094.001709,95.26834106,1094.001709,93.01688385,1094.001709,92.55240631,1094.001709,90.04495239,1094.001709,92.80081177,1094.001709,91.53714752,1094.001709,90.26153564,1094.001709,92.59249115,1094.001709,89.90306091,1094.001709,91.45613098,1094.001709,89.2154007,1094.001709,89.01092529,1094.001709,91.32489777,1094.001709,92.43765259,1094.001709,90.54323578,1094.001709,91.61191559,1094.001709,90.36165619,1094.001709,91.26135254,1094.001709,92.35540009,1094.001709,91.10585022,1094.001709,90.91966248,1094.001709,89.12545013,1094.001709,89.83139038,1094.001709,92.59082031,1094.001709,92.56890106,1094.001709,93.62178802,1094.001709,92.44900513,1094.001709,92.21026611,1094.001709,91.19541168,1094.001709,93.3447113,1094.001709,92.90232086,1094.001709,91.64607239,1094.001709,90.87150574,1094.001709,90.43338013,1094.001709,91.71064758,1094.001709,91.17468262,1094.001709,93.13345337,1094.001709,90.07646179,1094.001709,89.49241638,1094.001709,92.38809204,1094.001709,93.35017395,1094.001709,91.0401001,1094.001709,68.98260498,1094.001709,67.00737762,1094.001709,65.29122162,1094.001709,64.59415436,1094.001709,68.57401276,1094.001709,67.6007843,1094.001709,67.52702332,1094.001709,66.36692047,1094.001709,67.96750641,1094.001709,64.66123199,1094.001709,66.45027161,1094.001709,66.49607086,1094.001709,65.8702774,1094.001709,67.84339905,1094.001709,67.60692596,1094.001709,65.29788208,1094.001709,67.61516571,1094.001709,67.36405182,1094.001709,67.1122818,1094.001709,66.68027496,1094.001709,66.49303436,1094.001709,66.25992584,1094.001709,68.30111694,1094.001709,68.42655945,1094.001709,64.53973389,
1092.995361,87.16096497,1092.995361,97.32855225,1092.995361,98.40685272,1092.995361,96.83209991,1092.995361,97.56208038,1092.995361,98.88459778,1092.995361,95.60830688,1092.995361,98.36962128,1092.995361,99.10359192,1092.995361,99.79625702,1092.995361,97.31713867,1092.995361,95.82857513,1092.995361,100.0516281,1092.995361,100.1261749,1092.995361,97.98122406,1092.995361,99.06568909,1092.995361,97.7773819,1092.995361,98.79490662,1092.995361,97.44442749,1092.995361,97.06744385,1092.995361,96.30497742,1092.995361,98.60058594,1092.995361,96.96588898,1092.995361,93.20973206,1092.995361,94.12626648,1092.995361,93.60357666,1092.995361,96.08341217,1092.995361,94.37911987,1092.995361,94.0093689,1092.995361,94.44477844,1092.995361,93.22917175,1092.995361,95.00585938,1092.995361,93.66551971,1092.995361,95.11366272,1092.995361,94.80895233,1092.995361,93.69885254,1092.995361,95.30134583,1092.995361,94.38356781,1092.995361,95.55096436,1092.995361,93.46385193,1092.995361,96.22530365,1092.995361,90.2855072,1092.995361,91.47084045,1092.995361,91.26528168,1092.995361,88.45602417,1092.995361,91.43206787,1092.995361,91.87934113,1092.995361,91.32096863,1092.995361,88.65220642,1092.995361,90.18215179,1092.995361,88.82829285,1092.995361,92.49352264,1092.995361,90.55454254,1092.995361,91.11625671,1092.995361,90.42836761,1092.995361,92.40781403,1092.995361,90.66452789,1092.995361,88.87205505,1092.995361,89.26879883,1092.995361,95.29447937,1092.995361,91.00177765,1092.995361,94.57218933,1092.995361,95.10851288,1092.995361,92.7703476,1092.995361,93.22223663,1092.995361,92.34646606,1092.995361,92.2276535,1092.995361,93.92268372,1092.995361,91.47838593,1092.995361,94.05329895,1092.995361,92.33724976,1092.995361,93.97701263,1092.995361,93.65123749,1092.995361,91.91262817,1092.995361,90.49990082,1092.995361,92.72312927,1092.995361,91.33522034,1092.995361,89.35958862,1092.995361,92.22975159,1092.995361,91.75457001,1092.995361,87.65782166,1092.995361,67.81010437,1092.995361,69.35107422,1092.995361,67.09109497,1092.995361,68.18731689,1092.995361,66.53250122,1092.995361,65.94871521,1092.995361,67.49538422,1092.995361,67.56501007,1092.995361,67.32196808,1092.995361,67.54470825,1092.995361,64.84078979,1092.995361,66.07339478,1092.995361,68.83609009,1092.995361,66.83351135,1092.995361,69.39388275,1092.995361,67.99714661,1092.995361,68.97314453,1092.995361,66.40382385,1092.995361,68.21977234,1092.995361,65.65275574,1092.995361,67.65563202,1092.995361,63.49026489,1092.995361,67.36011505,1092.995361,68.36424255,1092.995361,66.53398895,
1091.988525,87.89784241,1091.988525,95.80976105,1091.988525,100.6213455,1091.988525,98.71282196,1091.988525,99.61394501,1091.988525,96.71569824,1091.988525,97.69145203,1091.988525,97.25762939,1091.988525,97.00376892,1091.988525,97.25780487,1091.988525,96.97999573,1091.988525,95.99867249,1091.988525,96.22107697,1091.988525,97.4928894,1091.988525,96.05076599,1091.988525,95.51902771,1091.988525,96.09195709,1091.988525,98.84162903,1091.988525,94.83883667,1091.988525,97.59117126,1091.988525,96.23814392,1091.988525,95.64576721,1091.988525,95.91925049,1091.988525,94.38956451,1091.988525,93.92527008,1091.988525,93.57652283,1091.988525,93.9586792,1091.988525,93.27518463,1091.988525,92.04638672,1091.988525,93.45324707,1091.988525,90.99786377,1091.988525,91.80567932,1091.988525,94.69226837,1091.988525,90.35656738,1091.988525,92.57156372,1091.988525,92.87879181,1091.988525,94.53442383,1091.988525,92.15701294,1091.988525,92.35273743,1091.988525,92.60308838,1091.988525,91.41119385,1091.988525,89.00540161,1091.988525,92.26132202,1091.988525,91.81536102,1091.988525,88.46126556,1091.988525,92.60389709,1091.988525,93.67708588,1091.988525,91.47454834,1091.988525,90.56368256,1091.988525,89.22150421,1091.988525,90.05568695,1091.988525,89.65216064,1091.988525,88.92030334,1091.988525,89.16960907,1091.988525,90.64622498,1091.988525,90.09591675,1091.988525,90.17553711,1091.988525,87.24712372,1091.988525,89.29594421,1091.988525,90.33110809,1091.988525,91.22956085,1091.988525,88.34755707,1091.988525,92.76059723,1091.988525,90.99436951,1091.988525,92.118927,1091.988525,91.1491394,1091.988525,93.5814743,1091.988525,90.54196167,1091.988525,92.42364502,1091.988525,91.90969086,1091.988525,89.82702637,1091.988525,91.20536804,1091.988525,90.65814972,1091.988525,93.28312683,1091.988525,89.57063293,1091.988525,93.06784058,1091.988525,90.65100098,1091.988525,91.71775818,1091.988525,94.28426361,1091.988525,90.90543365,1091.988525,91.75508881,1091.988525,67.44762421,1091.988525,66.64602661,1091.988525,65.10564423,1091.988525,67.1787796,1091.988525,67.34522247,1091.988525,65.57714081,1091.988525,67.50453949,1091.988525,64.46829224,1091.988525,65.87643433,1091.988525,66.8109436,1091.988525,68.53857422,1091.988525,67.91667938,1091.988525,66.03231049,1091.988525,65.19586945,1091.988525,66.30436707,1091.988525,67.93863678,1091.988525,67.04652405,1091.988525,70.3454895,1091.988525,65.42532349,1091.988525,67.68498993,1091.988525,68.31630707,1091.988525,68.96191406,1091.988525,66.94909668,1091.988525,67.95956421,1091.988525,66.34803772,
1091.010254,88.93251801,1091.010254,96.22760773,1091.010254,99.43800354,1091.010254,97.21585083,1091.010254,94.5719986,1091.010254,93.93538666,1091.010254,94.83036804,1091.010254,92.26950073,1091.010254,96.20969391,1091.010254,94.33055878,1091.010254,93.48834991,1091.010254,94.87142181,1091.010254,97.0477066,1091.010254,93.21176147,1091.010254,95.20744324,1091.010254,93.4890976,1091.010254,93.25835419,1091.010254,95.80873108,1091.010254,94.24093628,1091.010254,96.57247925,1091.010254,92.77311707,1091.010254,96.54753876,1091.010254,93.91857147,1091.010254,93.0145874,1091.010254,92.44888306,1091.010254,91.78418732,1091.010254,92.40113068,1091.010254,91.77610016,1091.010254,90.87287903,1091.010254,89.61846161,1091.010254,92.73723602,1091.010254,91.62306213,1091.010254,90.49446869,1091.010254,92.24193573,1091.010254,91.65536499,1091.010254,91.92945862,1091.010254,90.80242157,1091.010254,90.99028015,1091.010254,91.9705658,1091.010254,90.28548431,1091.010254,92.76192474,1091.010254,90.01482391,1091.010254,88.646492,1091.010254,89.40821075,1091.010254,91.07618713,1091.010254,88.53773499,1091.010254,88.87960815,1091.010254,89.47665405,1091.010254,90.64468384,1091.010254,88.41026306,1091.010254,88.99136353,1091.010254,89.2437439,1091.010254,89.77349091,1091.010254,89.66319275,1091.010254,85.72312164,1091.010254,89.3033371,1091.010254,88.46542358,1091.010254,90.05149078,1091.010254,86.28661346,1091.010254,87.3514328,1091.010254,88.21392059,1091.010254,89.67973328,1091.010254,92.83107758,1091.010254,89.93675232,1091.010254,89.97570038,1091.010254,90.55410004,1091.010254,90.08374786,1091.010254,89.48442078,1091.010254,92.44003296,1091.010254,89.90896606,1091.010254,90.5030365,1091.010254,90.02288818,1091.010254,91.46112823,1091.010254,90.15844727,1091.010254,88.43618774,1091.010254,90.28063965,1091.010254,90.18600464,1091.010254,89.74172974,1091.010254,91.43136597,1091.010254,90.47432709,1091.010254,89.86232758,1091.010254,66.00653839,1091.010254,67.27526093,1091.010254,67.00135803,1091.010254,66.7276535,1091.010254,65.43483734,1091.010254,65.52172089,1091.010254,66.60588074,1091.010254,62.82048035,1091.010254,65.97780609,1091.010254,67.59900665,1091.010254,67.13794708,1091.010254,64.63824463,1091.010254,66.25580597,1091.010254,65.81833649,1091.010254,66.60489655,1091.010254,66.03450012,1091.010254,65.0138092,1091.010254,65.24660492,1091.010254,63.46210098,1091.010254,65.77626801,1091.010254,64.49873352,1091.010254,66.22502136,1091.010254,66.492836,1091.010254,65.29397583,1091.010254,66.68247223,
